UUID|Author|LastName|Name|Birth Year|Death Year|Author_name|Summary|Wiki_URL|cats|linked_authors|country|genera|title|uuid_coem|Image|Audio
e3c053e7-79a8-4220-834e-b9989db1daee|Acuña, Manuel|Acuña|Manuel|1849|1873|Manuel Acuña|Manuel Acuña Narro (Saltillo, Coahuila; 27 de agosto de 1849[1]​ – Ciudad de México; 6 de diciembre de 1873[2]​) fue un poeta  mexicano que se desarrolló en el estilizado ambiente romántico del intelectualismo mexicano de la época.|https://es.wikipedia.org/wiki/Manuel_Acu%C3%B1a|Escritores en español del siglo XIX,Fallecidos en 1873,Fallecidos en Ciudad de México,Hombres,Nacidos en 1849,Nacidos en Saltillo,Poetas de Coahuila,Poetas de México del siglo XIX,Suicidas de México,Suicidas por envenenamiento|Francisco Sosa Escalante,José Martí|Mexico|Romanticismo|A Asunción|7aad6419-3f7f-4156-bec3-4fcb8b6770fe|Sagan.png|tenquita.mp3
efabbcaa-457b-48b9-8bd5-1b7a10f62df4|Aguirre y Fierro, Guillermo|Aguirre y Fierro|Guillermo|1887|1949|Guillermo Aguirre y Fierro||Unknown|Unknown||Mexico|Unknown|El brindis del bohemio|0e2aec1c-46b4-42a8-8b87-93d4a87ad68d|Sagan.png|tenquita.mp3
eb5588ae-d34f-4bf7-8f5e-1017c63a9453|Agustini, Delmira|Agustini|Delmira|1886|1914|Delmira Agustini|Delmira Agustini Murtfeldt (Montevideo, 24 de octubre de 1886-6 de julio de 1914) fue una poeta modernista uruguaya.|https://es.wikipedia.org/wiki/Delmira_Agustini|Asesinatos en Uruguay en 1914,Escritoras de Uruguay,Escritores asesinados,Escritores de Uruguay del siglo XIX,Escritores de Uruguay del siglo XX,Escritores del Modernismo,Escritores en español del siglo XX,Fallecidos en 1914,Fallecidos en Montevideo,Fallecidos por disparos de arma de fuego,Feministas de Uruguay,Mujeres,Nacidos en 1886,Nacidos en Montevideo,Poetas en español,Poetisas de Uruguay,Sepultados en el Cementerio Central de Montevideo,Uruguayas del siglo XIX,Uruguayas del siglo XX,Víctimas mortales de la violencia de género,Ítalo-uruguayos|Rubén Darío|Uruguay|Modernismo|Amor|31e211cb-deaf-42d0-960d-f964548e215a|Sagan.png|tenquita.mp3
afb6623f-f26e-4b1a-8ca0-8baba0392999|Ajmátova, Anna|Ajmátova|Anna|1889|1966|Anna Ajmátova|Anna Andréievna Ajmátova (ruso: Анна Андреевна Ахматова) seudónimo de Anna Andréievna Górenko (Bolshói Fontán, cerca de Odesa, gobernación de Jersón, 11 de juniojul./ 23 de junio de 1889greg. - Domodédovo,  óblast de Moscú, 5 de marzo de 1966), fue una destacada poeta rusa. Junto con  Nikolái Gumiliov y Ósip Mandelshtam, fue una de las figuras más representativas de la poesía acmeísta de la Edad de Plata de la literatura rusa.|https://es.wikipedia.org/wiki/Anna_Ajm%C3%A1tova|Anna Ajmátova,Candidatos al Premio Nobel de Literatura,Disidentes de la Unión Soviética,Escritoras de la Unión Soviética,Escritores en ruso,Fallecidos en 1966,Fallecidos en Moscú,Fallecidos por infarto agudo de miocardio,Mujeres,Nacidos en 1889,Nacidos en Odesa,Personas que dan nombre a un asteroide,Poesía moderna,Poetas de Rusia del siglo XX,Poetisas de Rusia,Rusas del siglo XX,Rusos de la Primera Guerra Mundial,Traductoras de Rusia,Traductores al ruso,Traductores de Rusia del siglo XX,Traductores del bengalí,Traductores del italiano|Aleksandr Blok,Giacomo Leopardi,Joseph Brodsky,Nicanor Parra,Rabindranath Tagore,Vladimir Nabokov|Rusia|Romanticismo|A la ciudad de Pushkin|2dbf83ec-93ab-451b-acd3-fc1683a09522|Sagan.png|tenquita.mp3
f08cb626-4063-4eec-8262-0aae6043462d|Al-Khansa|Al-Khansa|Unknown|575|645| Al-Khansa||Unknown|Unknown||Arabia|Unknown|El tiempo me ha roído, mordido  y cortado...|87c374f2-d808-4fec-8580-5deedfd1b032|Sagan.png|tenquita.mp3
54e9e519-453e-43b6-9381-1d2d6854b871|Al-Mustakfi, Wallada bint|Al-Mustakfi|Wallada bint|994|1091|Wallada bint Al-Mustakfi||Unknown|Unknown||Al-Ándalus|Unknown|A pesar de sus méritos, Ibn Zaydun ama|09b6d665-9f12-4359-9442-430fc88def12|Sagan.png|tenquita.mp3
81c2194c-9e1c-437a-b141-cea13ade6a13|Alberti, Rafael|Alberti|Rafael|1902|1999|Rafael Alberti|Rafael Alberti Merello (El Puerto de Santa María, 16 de diciembre de 1902-ibidem, 28 de octubre de 1999) fue un escritor español, especialmente reconocido como poeta, miembro de la generación del 27. Está considerado uno de los mayores literatos de la llamada Edad de Plata de la literatura española.[1]​ Miembro activo del Partido Comunista de España (PCE), se exilió tras la guerra civil. Vuelto a España tras la instauración de la democracia, fue diputado en el Congreso en 1977 con el PCE y recibió diversos reconocimientos, como el premio Cervantes y el nombramiento como hijo predilecto de Andalucía.|https://es.wikipedia.org/wiki/Rafael_Alberti|Antifascistas de España,Ciudadanos Ilustres de la Ciudad Autónoma de Buenos Aires,Comunistas de Andalucía,Diputados de la Legislatura Constituyente de España,Diputados por la provincia de Cádiz,Doctores honoris causa de la Universidad Nacional Mayor de San Marcos,Doctores honoris causa por la Universidad Complutense de Madrid,Doctores honoris causa por la Universidad de Cádiz,Doctores honoris causa por la Universidad de Granada,Dramaturgos de Andalucía,Dramaturgos de España del siglo XX,Escritores de España de la Generación del 27,Escritores en español del siglo XX,Escritores españoles del exilio,Exiliados del franquismo en Argentina,Exiliados del franquismo en Francia,Exiliados del franquismo en Italia,Exiliados del franquismo en Uruguay,Fallecidos en 1999,Fallecidos en El Puerto de Santa María,Ganadores del Premio Cervantes,Hijos predilectos de Andalucía,Hijos predilectos de la provincia de Cádiz,Hombres,Medalla de Oro al Mérito en las Bellas Artes,Miembros de la Academia de las Artes de Berlín,Misiones Pedagógicas,Nacidos en 1902,Nacidos en El Puerto de Santa María,Orden José Martí,Poesía moderna,Poetas de España del siglo XX,Poetas de la provincia de Cádiz,Políticos del Partido Comunista de España,Pregoneros del Carnaval de Cádiz,Premio Lenin de la Paz,Premio Mariano de Cavia,Premio Nacional de Teatro de España,Rafael Alberti,Residentes|Federico García Lorca,Gerardo Diego,Jorge Guillén,José Bergamín,Luis Cernuda,Luis García Montero,Luis de Góngora y Argote,Manuel Altolaguirre,María Zambrano,Miguel Hernández,Miguel de Unamuno,Pablo Neruda,Pedro Salinas,Ramón Gómez de la Serna,Rosa Chacel,Vicente Aleixandre|España|Romanticismo|A galopar|e886e9fb-7296-4e68-aac0-9e985796de8c|Sagan.png|tenquita.mp3
b09651fd-b68a-45e8-8e0f-e2d3016d7ac8|Aldington, Richard|Aldington|Richard|1892|1962|Richard Aldington|Richard Aldington (8 de julio de 1892 – 27 de julio de 1962), cuyo nombre de pila fue Edward Godfree Aldington, fue un escritor y poeta británico. Conocido por su poesía acerca de la Primera Guerra Mundial, su novela Muerte de un Héroe (Death of a Hero) de 1929 y la creciente controversia por la biografía de Thomas Edward Lawrence que redactó en 1955.|https://es.wikipedia.org/wiki/Richard_Aldington|Escritores del Reino Unido del siglo XX,Escritores en inglés,Fallecidos en 1962,Hombres,Nacidos en 1892,Nacidos en Portsmouth,Poesía moderna,Poetas masculinos de Inglaterra||Inglaterra|Unknown|Anochecer|9c2d1650-b925-449b-970d-bae6b1979463|Sagan.png|tenquita.mp3
b6bfca07-dbd1-4094-a2db-1f2735af1679|Aleixandre, Vicente|Aleixandre|Vicente|1898|1984|Vicente Aleixandre|Vicente Aleixandre y Merlo (Sevilla, 26 de abril de 1898 - Madrid, 14 de diciembre de 1984) fue un poeta español de la llamada generación del 27. Fue académico de la Real Academia Española desde 1950, ocupando el sillón de la letra O.[1]​Obtuvo el Premio Nacional de Literatura en 1933 por La destrucción o el amor,[2]​ el Premio de la Crítica en 1963 por En un vasto dominio y en 1969 por Poemas de la consumación,[3]​ así como el Premio Nobel de Literatura en 1977.[3]​|https://es.wikipedia.org/wiki/Vicente_Aleixandre|Académicos de la Real Academia Española,Caballeros grandes cruces de la Orden de Carlos III,Escritores LGBT de España,Escritores bisexuales,Escritores de España de la Generación del 27,Escritores en español del siglo XX,Españoles laureados con el Premio Nobel de Literatura,Fallecidos en 1984,Fallecidos en Madrid,Hijos predilectos de Andalucía,Hombres,Laureados con el Premio Nobel 1977,Laureados con el Premio Nobel de Literatura por idioma español,Nacidos en 1898,Nacidos en Sevilla,Poesía moderna,Poetas de España del siglo XX,Poetas sevillanos,Premios Nobel de España,Sepultados en el cementerio de La Almudena|Alejandro Duque Amusco,Alfred de Musset,André Breton,Antonio Machado,Arthur Conan Doyle,Arthur Rimbaud,Benito Pérez Galdós,Blas de Otero,Camilo José Cela,Carlos Bousoño,Carmen Conde,Claudio Rodríguez,Dámaso Alonso,Emilia Pardo Bazán,Emilio Prados,Federico García Lorca,Francisco Brines,Fray Luis de León,Friedrich Hölderlin,Friedrich Schiller,Gabriel Celaya,Gabriela Mistral,Gerardo Diego,Gustavo Adolfo Bécquer,Hans Christian Andersen,Hermanos Grimm,Jaime Gil de Biedma,James Joyce,Joan Maragall,John Milton,Jorge Guillén,José Agustín Goytisolo,José Antonio Muñoz Rojas,José Bergamín,José Hierro,José Luis Cano,José María Valverde,Juan Ramón Jiménez,Juan Valera,Justo Jorge Padrón,Leopoldo Panero,Lord Byron,Louis Aragon,Luis Antonio de Villena,Luis Cernuda,Luis Felipe Vivanco,Manuel Altolaguirre,Manuel Machado,María Zambrano,Max Aub,Miguel Hernández,Miguel de Cervantes,Miguel de Unamuno,Pablo Neruda,Paul Verlaine,Pedro Salinas,Pere Gimferrer,Rafael Alberti,Ricardo Molina,Rubén Darío,Saul Bellow,Vicente Molina Foix,Victoriano Crémer,William Blake,Ángel González|España|Unknown|A ti, viva|f222300f-1446-47d6-883a-3c5fc54d9665|Sagan.png|tenquita.mp3
4146fbdb-51d2-4598-98b0-3bee85bda049|Alighieri, Dante|Alighieri|Dante|1265|1321|Dante Alighieri|Dante Alighieri, bautizado Durante di Alighiero degli Alighieri (Florencia, c. 29 de mayo de 1265-Rávena, 14 de septiembre de 1321), fue un poeta y escritor italiano, conocido por escribir la Divina comedia, una de las obras fundamentales de la transición del pensamiento medieval al renacentista y una de las cumbres de la literatura universal.[1]​[2]​[3]​ La fecha exacta del nacimiento de Dante es desconocida, aunque generalmente se cree que fue alrededor de 1265. Esto puede deducirse de las alusiones autobiográficas reflejadas en la Vita nuova.[4]​Dante participó activamente en las luchas políticas de su tiempo, por lo que fue desterrado de su ciudad natal, y fue un activo defensor de la unidad italiana. Escribió varios tratados en latín sobre literatura, política y filosofía. A su pluma se debe el tratado en latín De Monarchia, de 1311, que constituye una exposición detallada de sus ideas políticas, entre las cuales se encuentran la necesidad de la existencia de un Sacro Imperio Romano y la separación de la Iglesia y el Estado.[5]​ En 1289 participó en la batalla de Campaldino durante la guerra entre Florencia y Arezzo, y contribuyó así a la victoria de los florentinos.[6]​Apodado «el Poeta Supremo» (en italiano «il Sommo Poeta»), también se le considera el «padre del idioma italiano» (llamado volgare en aquella época). Su primera biografía fue escrita por Giovanni Boccaccio (1313-1375), en el Trattatello in laude di Dante.|https://es.wikipedia.org/wiki/Dante_Alighieri|Alumnado de la Universidad de Bolonia,Dante Alighieri,Escritores católicos,Escritores de Italia del siglo XIII,Escritores de Italia del siglo XIV,Escritores en italiano,Escritores en latín,Fallecidos en 1321,Fallecidos en Ravena,Hombres,Humanistas de Italia del siglo XIV,Italia en el Renacimiento,Nacidos en 1265,Nacidos en Florencia,Personas que dan nombre a un asteroide,Poetas de Italia del siglo XIII,Poetas de Italia del siglo XIV,Políticos de Italia del siglo XIII|Charles Baudelaire,Eugenio Montale,Giovanni Boccaccio,Jorge Luis Borges,T. S. Eliot,William Blake|Italia|Romanticismo|Amor e'l cor gentil|cc8acde6-3a4f-4704-965d-65fe70f5aaca|Sagan.png|tenquita.mp3
